No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower,estimate00,mixed
207,F,Kitawase,Pin,F-P02,17.33,300.33,5.47,29.92,NA,140.9436325,141
208,F,Kitawase,Pin,F-P02,13.9,193.21,5.81,33.76,NA,120.0562814,120
209,F,Kitawase,Pin,F-P02,14.51,210.54,5.34,28.52,NA,116.341482,116
210,F,Kitawase,Pin,F-P02,18.47,341.14,4.61,21.25,NA,134.0383384,134
211,F,Kitawase,Pin,F-P02,20.35,414.12,6.74,45.43,NA,187.3442683,187
212,F,Kitawase,Pin,F-P02,21.57,465.26,7.19,51.7,NA,204.7176815,205
213,F,Kitawase,Pin,F-P02,10.41,108.37,5.12,26.21,NA,79.98748275,80
214,F,Kitawase,Pin,F-P02,21.82,476.11,5.75,33.06,NA,181.4079855,181
215,F,Kitawase,Pin,F-P02,13.1,171.61,5.75,33.06,NA,112.6721934,113
216,F,Kitawase,Pin,F-P02,15.1,228.01,5.01,25.1,NA,114.9243355,115
217,F,Kitawase,Pin,F-P02,14.99,224.7,5.49,30.14,NA,122.8621245,123
218,F,Kitawase,Pin,F-P02,12.45,155,4.73,22.37,NA,88.8317481,89
219,F,Kitawase,Pin,F-P02,17.82,317.55,3.65,13.32,NA,110.6121369,111
220,F,Kitawase,Pin,F-P02,13.39,179.29,8.75,76.56,NA,166.1217174,166
221,F,Kitawase,Pin,F-P02,7.27,52.85,1.97,3.88,NA,-6.008097194,-6
222,F,Kitawase,Pin,F-P02,6.05,36.6,1.9,3.61,NA,-17.05868565,-17
223,F,Kitawase,Pin,F-P02,7.57,57.3,6.84,46.79,NA,88.33979779,88
224,F,Kitawase,Pin,F-P02,3.43,11.76,3.91,15.29,12,2.196518857,12
225,F,Kitawase,Pin,F-P02,8.73,76.21,5.83,33.99,48,79.66394868,48
226,F,Kitawase,Pin,F-P02,15.01,225.3,6.41,41.09,90,139.4800882,90
227,F,Kitawase,Pin,F-P02,7.19,51.7,4.74,22.47,28,47.55460751,28
228,F,Kitawase,Pin,F-P02,16.25,264.06,11.18,124.99,207,225.8563831,207
229,F,Kitawase,Pin,F-P02,14.47,209.38,10.82,117.07,229,206.5558627,229
230,F,Kitawase,Pin,F-P02,16.23,263.41,8.15,66.42,74,178.7394493,74
231,F,Kitawase,Pin,F-P02,8.74,76.39,3.53,12.46,38,36.70851652,38
232,F,Kitawase,Pin,F-P02,16.16,261.15,6.38,40.7,100,148.0188784,100
233,F,Kitawase,Pin,F-P02,7.03,49.42,6.56,43.03,36,79.21128437,36
